Texte|Classe
2 - principé amenagement schéma directeur conférer axe général vallée Seine vocation privilégiée organisation région Paris inscrire essentiel développement urbain part fleuve plateau bordant nord sud localisation précédemment décrire .|Positive
autoroute interurbaine Seine-et-Oise boucle montesson rocade banlieue bord Seine boucle Gennevilliers opération défense montesson rattacheront agglomération situer part aménagement devoir orienter essentiellement amélioration équipement organisation interne .|Positive
lotissement sud orly bénéficieront développement urbain fonction lesquel aménagement devoir orienter .|Positive
aménagement agglomération existant restructuration baser création infrastructure routière ferré contribueront mettre unité zone compartimenté site désenclaveront rapport Paris banlieue entourer .|Positive
aménagement facilité régularisation rivière grâce barrage construire Marne région Montmirail .|Positive
relier Paris R.E.R.|Positive
objectif devoir égard rechercher : - rythme développement ville répartition nouveau construction terrain devoir concevoir manière sauvegarder cœur ville engorgement prélude destruction souvent cœur ville mérite conserver : essor démographique rapide ville disposition quartier nouveau faire dépendre seul centre existant point passage obliger impliquerait nécessairement démolition centre devenir inadapté reconstruire échelle grand ; - type construction devoir constituer rupture marquer caractère ville environnement : type logement élevé devoir égard proscrit proximité ville périphérique .|Positive
débat architectural choix partiel quartier tour artère falloir tenter voir clair essentiel fonction urbain Paris devoir exercer conséquence fonction devoir évolution souhaité agglomération ville nouveau centre urbain nouveau .|Positive
"boulevard périphérique tronçon service conviction acquise travail mener vigueur terme tentation faire jour localiser siège social important autour "" engin "" moderne circulation automobile ."|Positive
temps sauver Paris intra-muros banlieue .|Positive
geste sens courageux doute décisif départ halle centrale Villette marché viande marché alimentaire gros centre urbain nouveau rénover linéairement étendra carrefour Belle-Épine commune rungis choisy-le-roi comprendre gare routier région parisien .|Positive
perspective ouvert schéma directeur devoir remédier obstacle faciliter ville Paris reconquête partie sol .|Positive
plan directeur ville Paris cours révision devoir tenir compte tirer conséquence structure ville concerner zonage mise quartier historique circulation transport réserve espace vert service public règlement urbanisme définir densité occupation .|Positive
lieu exemple faciliter circulation autobus création réserver encourager utilisation transport commun zone circulation automobile devoir limité création parc stationnement échange judicieusement disposé .|Positive
également souhaitable étudier tracé complémentaire : - radial supplémentaire ouest notamment gare Saint-Lazare boulevard périphérique ; - liaison Saint-Lazare - montparnasse .|Positive
Paris allégé tâche important encombrant exercice fonction primordial restaurant beauté quartier historique rejeter choix romantique iconoclaste table rase modernisant quartier rénover conserver ensemble volume modéré bâtiment ponctué accuser silhouette ville édifice élevé accepter moderne pénétration rocade parc stationnement strict discipline transport faveur transport commun multiplié souterrain surface Paris donner moyen remplir mesure besoin fin siècle - rôle irremplaçable cœur région urbain entier - vocation unique capitale politique culturel économique France - mission partager métropole européen mondial paris-dan-le-le-mur ville essentiel rester ville complet monde .|Positive
expliquer grand partie croissance trafic aérien ( 3 6 million voyageur orly Bourget 1960 58 million 1964 ) conduire envisager ouverture nouveau aéroport dizaine année encourager développement réseau ferroviaire transeuropéen création système autoroute international .|Positive
aménagement routier région permettre améliorer desserte autobus progrès éventuellement réalisable exploitation ligne routière rendre peut-être attractif aujourd'hui .|Positive
région parisien besoin aérodrome affaire relier principal centre activité .|Positive
rester constituer capitale autour ensemble économique évolution intéresser pays entier constituer atout échelle marché commun Europe .|Positive
Mue propre dynamisme ouvrir échange international sensible transformation civilisation industriel guider aménagement territoire soucieux équilibre région économie aller évoluer ?|Positive
paradoxe apparent expliquer faire activité dynamique mieux représenter région parisien taux expansion moindre ailleurs secteur économique recul industrie textile faible progression sidérurgie occuper généralement place modeste : structure activité favorisera croissance économie parisien métropole équilibre développement encourager atteindre seuil permettre accueillir efficacement activité pointe .|Positive
courant opposé manifestent : tendance concentration sensible industrie prévisible service commerce ; inverse action sélective décentralisation grand établissement industriel pouvoir aisément éloigner Paris petit * .|Positive
créer progressivement condition favorable implantation activité tertiaire réserver centre Paris .|Positive
mettre .|Positive
""" mise "" devoir exprimer politique défense conservation arbre existant ."|Positive
( 2 ) pouvoir ajouter terrasse Saint-Germain immédiat fleuve endroit aménagement approprié .|Positive
prise compte ensemble région schéma directeur plan urbanisme détaillé traduiront esprit secteur secteur permettre sauvegarder améliorer caractère zone détente devoir demeurer petit vallée .|Positive
- grand établissement technique : beau réussite haussmannien égout Paris conduire longtemps public visiter ; curiosité diriger demain visiteur grand établissement industriel centrale thermique usine chauffage urbain condition disposition nécessaire prévu : raison tenir négligeable enseignement technique appliquer pouvoir résulter admiration visite pouvoir susciter .|Positive
beauté étriquée : urbanisme parisien schéma directeur permettre renouveau beauté .|Positive
pouvoir transformer positivement ville .|Positive
choisir démolir petit barre bâtir immeuble -villa rétablissent lecture alignement rue créer nouveau cœur îlot privatisé redonner dignité habitation barre apporter loggia hall entrée .|Positive
sûr habitat installer aller changer tenter urbaniser campagne douceur lieu plaquer plan urbanisme .|Positive
agir tirer leçon histoire urbanisation lent bocage périphérique devenir ville imaginer processus urbanisation rapide .|Positive
projet viser apporter continuité urbain XVIIe arrondissement besoin crucial créer grand parc « tentaculaire » aller chercher vie urbain .|Positive
dimension massif seul bloc interdire évoluer souplesse .|Positive
important ville ouvrir modification pouvoir accueillir futur inconnu .|Positive
enjeu réussir créer rue îlot partition espace privé réseau viaire public dépit loi ensoleillement drastique conduire partout Chine immeuble éloigner précepte charte Athènes .|Positive
amusant conduire faire îlot ouvert réussir faire rue nord-sud vraiment constituer .|Positive
pouvoir imaginer part aléatoire durée évolution facile immeuble donner rue .|Positive
intéressant motivant architecte concevoir volume entier travailler façade mitoyen .|Positive
architecte traiter angle rue forme combinaison bâtiment marge visiblement amusait donner forme logement voir sens .|Positive
réussir projet urbain compte réussir architecture falloir ajouter aussitôt pouvoir faire vivacité architecture .|Positive
Éngagée État consultation international phase indispensable mobilisation compétence susceptible procurer matière « intelligence spatial territoire » développement raisonné métropole contemporain .|Positive
ébahi transformer maîtrise processus projet renzo Piano .|Positive
processus substitution simplement déductif travail transformation trace dessin retrouver plaisir « jardin élémentaire » .|Positive
agir paysage attente valoriser délaisser .|Positive
élu Bordeaux souhaiter doter « vision » transformation paysage outil — charte — construction cohérent .|Positive
maigre réjouissant réalisation apparaître optimisme préfiguration préalable vaste transformation annoncé .|Positive
Étaient dessiner fantastique projet amplification géographie : vallée exister petit vallon forme égout paysagiste olmsted fils amplifiaient présence nature .|Positive
extraordinaire mode viabilisation fonder intelligence géographie pouvoir nature .|Positive
résultat extraordinaire accueillir urbanisation actuel donner sens structure qualité vie .|Positive
percevoir échelle apporter réponse dimension sens clé réussite projet recomposition territoire .|Positive
longtemps activité portuaire industriel déplacer offrir opportunité créer lien majeur Bordeaux : vaste parc centre-ville faire face façade historique rive gauche récent promenade jardiné .|Positive
parc sorte nature intermédiaire accompagner mutation donner progressivement qualité lieu accueillir nouveau quartier .|Positive
autant action hypothéqueront aucunement dessin futur visible préfigurant futur campus valorisant terrain .|Positive
utilisation immédiat site usager appropriation concourent conforter projet aménagement île débat décennie .|Positive
maître ouvrage : ville Montpellier paysagiste : Michel desvigne Pauline Way Guillaume leuregan Mathieu labeille consultant : OTH ingénieur superficie : 10 penser urbanisme grand échelle période crise recomposer territoire grâce espace public paysage coûter regard programme architectural envergure musée palais congrès .|Positive
réjoui situation société mûre envisager transformation territoire .|Positive
expérience valoir loin construire ville émergent .|Positive
objectif installer structure paysager améliorer rapidement qualité périphérie .|Positive
ville diffuser savoir accueillir mélange usage signification pouvoir ouvrir grand paysage campagne industriel assurer formidable transition .|Positive
maître ouvrage : ville almere paysagiste : Michel desvigne Iris dupper Bas smet Marco rossi gerwin gruber liviu vasiu architecte : OMA rem koolhaa urbaniste superficie : 2 parc Dräi eechelen Luxembourg 1999-2010 [ maîtrise œuvre espace public ] transformation plateau Dräi eechelen nécessité important travail mise — travail excavation restauration ( fort thüngen aménager musée « Dräi éechelen» ) construction ( musée art moderne grand-duc-jean ) — requalification parc situer vieux ville institution européen .|Positive
aménagement simplicité facilitent lisibilité site grand complexité .|Positive
cas ingénieur concevoir route .|Positive
Suisse fourmille route dessiné grand intelligence ancré géographie .|Positive
convaincre passer échelle approche nouveau aller concrétiser ville compact intense agglomération chercher souhaiter .|Positive
renouvellement établissement restauration plage traitement séquencé plantation généreux redonné site merveilleux charme entraîner réhabilitation architectural bâtiment front mer .|Positive
rêvais supprimer maximum ronds-point finir réussir faire ; présentais volontiers « Round Point Killer » .|Positive
époque « espace public » ( 2000-2006 ) construction 2e 3e ligne projet prendre dimension « aménagement urbain grand échelle » caractériser traitement ambitieux espace public ; lancement politique mode doux déplacement grand parkings-relais extérieur .|Positive
justifier faire confiance intelligence acteur mesure prendre compte situation ( territoire faire situation ! ) donner cap essentiel falloir savoir écouter pertinent accepter raisonnement opérateur guider modèle économique recherche optimisation marge volonté réaliser opération réussi .|Positive
nombre zac densité bâtir entraîner moindre solarisation logement : densifier territoire vertueux plan territorial mieux valoir moduler attente cas cas braquer indicateur rigide bâtiment .|Positive
epa sem gagneraient améliorer constitution transmission propre mémoire assurer permanence cohérence global aménagement rendre compte .|Positive
excès matière ( facile percer pignon mitoyen relier bâtiment structure surdimensionné origine ) densité vide ( autoriser réorganisation multiple accessibilité ) facteur mutabilité inspirant nouveau tissu urbain .|Positive
mise œuvre mobiliser savoir-faire transmis génération génération répétitivité dispositif ( portée équarrissage assemblage ) faciliter réintervention bâtir minimisant déconstruction .|Positive
agir porter projet cohérent juger regard intelligence urbain : faire acte continuité fraîcheur prolonger veine vent irrigant tissu dense soigner rapport sol sous-sol ( nappe phréatique ) .|Positive
[ FB ] : caue ( engagement formidable insuffisamment mettre lumière ) réseau structurer « ambassadeur territorialisé » ( architecte-conseil État collectivité ) pouvoir saisir logique proposer aller territoire grand qualité construction .|Positive
falloir parallèle investir domaine marché amélioration logement aller chercher grand surface bricolage exemple opérer concrètement lien paysage énergie confort million citoyen .|Positive
territoire devoir doté capacité diagnostic évaluer patrimoine bâtir classifier tissu urbain orienter méthode réhabilitation souhaitable .|Positive
travailler anah intégration enjeu environnemental opération programmer amélioration habitat ( opah ) outil développement territorial requalification habitat privé ancien .|Positive
opah opération programmer amélioration thermique bâtiment ( opatb ) constituer incursion politique public approche grand échelle .|Positive
agir engager ensemble acteur projet collectif responsable construction territoire commun partager .|Positive
pensée systémique permettre fonder approche métaboliste territoire système urbain envisager stratégie efficace soutenabilité : sobriété recherche meilleur équilibre approche coût-bénéfice raisonnement impact global évaluation systématique perspective .|Positive
« système chance perdurer devoir pouvoir intégrer propre action correcteur .|Positive
» Question évident appeler réponse fort : « Paris œil autour modèle bâtiment durable excellence immeuble rapport haussmannien offrir flexibilité capacité évolutivité flexibilité inégalé permettre changement usage reprogrammation incessant altération qualité initial .|Positive
soutenabilité actuel espace urbain pouvoir améliorer el évolution pratique professionnel acteur fabriquer ville part significatif impact devoir résorbé échapper prérogative acteur relever directement choix usage utilisateur espace urbain ( empreinte carbone ) ; implication usager espace urbain définition transformation composante apparaître nécessaire éclairage constat .|Positive
« rue commune » démarche inédit intégrer approche climatique environnemental paysager social économique proposer transformer rue métropolitain ordinaire faire ville durable désirable xxie siècle .|Positive
intérêt : construire pratique rationnel – parthénon chartre Casa milà .|Positive
implantation espagnol – valable aujourd'hui – réunir sagesse urbanistique temps ancien .|Positive
Œuvrer continuité – évora - malagueira [2 ] aspect impressionne architecture ville époque empressement vouloir porter achèvement .|Positive
contradiction désir préserver désir changer appréciation superficiel pouvoir interpréter opposition habitant hollandais immigré racine profond ; constituer support fondamental transformation urbain répressif instrumental .|Positive
devoir accompagner côté rue construction étage adoucir rapport ville ancien tour .|Positive
récent projet urbain prendre forme projet sol construisent continuité partir installer chaîne espace public étagé valorisent sol construire recherchant terre : Val fontenay part énorme autoroute sens enferment station RER Montpellier rencontrer ville historique quartier Antigone défense dalle rejoindre sol naturel quartier michelet .|Positive
part constat : rapport temps problématique matière projet urbain marquer planification « part » point final idée futur nécessairement mieux présent condition vie moment compter finalement rapport futur idéal figer .|Positive
cours histoire génération apporter contribution embellissement Paris dernier année ajouter « beau ville monde » banlieue indifférencié style âme .|Positive
développement extraordinaire Paris région origine inscrire sol : petit ville croisé route Flandres Seine Paris romain gallo-romain côté Narbonne Lyon Toulouse .|Positive
devenir cours 80 dernier année agglomération géant compte nombre habitant équivalent petit pays européen parisa grandir lentement guider principe témoigner rare continuité pensée volonté opposer gigantisme préoccupation garder équilibre harmonieux partie ville soin apporter embellissement équipement .|Positive
Colbert assister Prévôt marchand Pelletier faire établir bullet Blondel plan « exact fidèle PARIS marquerait changement pouvoir suite commodité public faciliter communication quartier embellissement ville » .|Positive
nouveau enceinte commencer temps aménagement intérieur contribuaient embellissement commodité ville : création place percement rue fontaine monument aspect berge Seine .|Positive
mérite délimiter périmètre agglomération assurer meilleur utilisation sol sauvegardé espace libre boisé longtemps livrer cupidité lotisseur .|Positive
plan aménagement présenter tâche multiple construction équipement exiger conçu réaliser ordre harmonie politique volonté aménagement organisation affirmé arrêter .|Positive
falloir multiplier aménager installation permettre utilisation rationnel loisir journalier hebdomadaire culture détente sport oublier exploitation aviser richesse touristique ( monument site forêt parc plan eau etc. ) .|Positive
caractire RÉGION parisienne PARIS développer cours siècle idée directrice ensemble débordant enceinte successif tracée beau réalisation urbain manquer qualité charme grandeur .|Positive
extrême densité occupation cœur PARIS supposer amélioration réaliser adjonction sorte « curetage » activité ajouter prestige capitale trouver progressivement reporté extérieur .|Positive
assainissement quartier noble devoir conserver animation exubérance marquer caractéristique ambiance PARIS origine rayonnement .|Positive
banlieue insuffisance équipement élémentaire eau assainissement quelquefois voirie absence caractère urbain qualité interdisent développement harmonieux vie social équilibré .|Positive
pouvoir intérêt regrouper PARIS banlieue ville province .|Positive
titre service dépendre administration État installation pouvoir avantageusement localiser ville province relier capitale simplement nécessaire raison proximité banlieue emplacement choisir .|Positive
heure marché commun aller imposer nation français gros effort adaptation rationalisation activité industriel intérêt libérer emplacement occuper cœur agglomération financer partiellement réinstallation province meilleur condition .|Positive
équipement public judicieusement grouper pouvoir grâce réunion activité polyvalent créeront autour permettre installation développement élément secteur privé épanouiront climat vie clientèle minimum phénomène analogue « groupe » constater biologie .|Positive
réussite efficacité noyau urbain nouveau obtenir énergie précaution .|Positive
doute pouvoir public disposeront-il faciliter grouper programme logement important ( ordre dizaine ) implanter hôpital général spécialisé faculté collège universitaire lycée école .|Positive
réussir véritable ville indispensable activité tertiaire centre commercial important développer spontanément .|Positive
or réussite nouveau centre urbain réel attraction exercer suffisant attirer initiative privé besoin large clientèle .|Positive
donner masse réalisation disposera sûrement pouvoir espérer sembler pouvoir envisager création noyau judicieusement répartir .|Positive
disposer terrain libre facile libérer vaste ( 500 1.000 ) pouvoir trouver place programme logement ( densité fort ) service public prévoir pouvoir envisagé installation privé terrain devoir disponible aménagé recevoir facilement .|Positive
pouvoir raisonnablement prétendre faire mieux : construire cité 20 30.000 habitant organiser apporter activité indispensable .|Positive
conduite évolution progressif équipement urbain nombre emploi devoir adapter chiffre habitant pouvoir .|Positive
meilleur solution ville situer ( ) rapport PARIS condition « new towns » anglais rapport londre extension modéré permettre assimiler perdre caractère population nouveau égal légèrement supérieur population actuel ?|Positive
rationnel construire doter équipement voulus .|Positive
grâce effort concordant ville réussite pouvoir demander apporterait amélioration structure agglomération parisien ?|Positive
effort important coordonné aménagement équipement ailleurs indispensable servir habitant nouveau quartier quartier environnant commune voisin .|Positive
service public principal notamment établissement enseignement supérieur secondaire technique pouvoir installer centre affaire activité nature commercial industriel centre culture loisir pouvoir créer développer pôle attraction commune voisin autant important efficace liaison routière court - aisée moyen transport commun routier ferré concevoir améliorer faciliter accès .|Positive
pouvoir crainte tromper mesure noyau composé correctement construire équiper caractère grand ville conserver disponibilité suffisant terrain accueillir établissement caractère exceptionnel étendront progressivement zone influence commune voisin ; acquerront clientèle susceptible justifier succès complet .|Positive
devoir convenablement répartir autour PARIS pouvoir réaliser successivement temps .|Positive
élément pouvoir placer révéleront : falloir centre pouvoir réellement « démarrer » posséder déjà quelqu'un élément autour desquel venir facilement installer .|Positive
ceinturé bois verriÈre CLAMART meudon homme mort émerger plateau vélizy-villacoublay 700 hectare superficie situation abri pollution atmosphérique provenir agglomération parisien sain aéré présenter caractéristique correspondre principal critère énuméré chapitre 2 susceptible permettre réalisation ensemble intéressant jumelé agglomération versaillais aérodrome militaire occuper moitié pouvoir transférer ailleurs .|Positive
hypothèse construction ville-parc spécialement aménager sport loisir présenter également intérêt .|Positive
politique nouveau grand ensemble précisément objet promouvoir unité devoir convenablement équiper socialement équilibré économiquement cohérent comprendre côté logement école également service public équipement social commercial culturel conjuguant règle général zone habitation zone activité conformément politique rapprochement habitat travail .|Positive
opération rénovation reconquête PARIS facilité notamment capacité accueil grand ensemble banlieue devoir « jumelé » rénovation interne proximité souhaitable pouvoir conserver relation habitat travail voisin possible .|Positive
desserrement activité administratif universitaire contribuer rendre vie local banlieue permettre meilleur aménagement quartier parisien libération nombre emplacement pouvoir recevoir utilement affectation : espace vert parking .|Positive
équipement hôtelier devoir développer améliorer .|Positive
commerce « quotidien » grand magasin service administratif bureau étude recherche école spécialisé centre universitaire culturel ordre installation sportif théâtre sûrement année venir programme localisation groupé pouvoir opportunément choisir créer relais centre affaire parisien contribuer efficacement restructuration revitalisation banlieue cité satellite région .|Positive
transport commun ferré routier améliorer .|Positive
doute réseau autobus important compensé mesure difficulté adaptation devoir conception retarder amélioration important réseau ferré .|Positive
création nouveau noyau urbain principal secondaire progressivement application vouloir restructuration possible réussisse indispensable réseau transport ferré repensé esprit liaison rapide point région liaison convergent cœur PARIS .|Positive
exclure entendre amélioration réseau « omnibus » urbain suburbain électrification ligne assurer « traction vapeur » : vincenue banlieue électrification utilisation transport voyageur ligne « petit ceinture » ( rocade périphérique transport commun indiquer infrastructure exister presque totalité trajet ) pouvoir incorporation ligne banlieue S.N.C.F. desservir rond-point défense ) .|Positive
banlieue création important nouveau : autoroute ouest mise service guerre autoroute sud 1960 ; amélioration traverser déviation route national incontestablement faciliter circulation suivre loin rythme accroissement .|Positive
devoir traiter largement possible correctement aménagé planté isoler riverain bruit constituer cadre agréable .|Positive
— radial : réseau route national départemental devoir entendre améliorer mesure situation local permettre pratiquement réaliser ( élargissement passage niveau séparer latéral etc. ) dépense exagéré amélioration local faire déplacer géographiquement engorgement retomber loin « problème précédent » .|Positive
maintien titre intéressant éviter doute transport lointain .|Positive
utilité navigation canal Saint-Martin souvent discuter pouvoir demander couverture faciliterait création traversée nord-sud boulevard Villette quai Seine .|Positive
contribueront mieux améliorer niveau général équipement faciliter essor nouveau noyau urbain devoir créer conséquence décongestionnant établissement parisien .|Positive
captage supplémentaire perfectionnement puisage service ; accroissement débit étiage construction barrage amont Seine Marne apporter amélioration .|Positive
schéma général indiquer opération fonction situation existant évolution prévisible souhaitable secteur pouvoir inscrire Plan Aménagement organisation général région parisien .|Positive
développement consommation énergie électrique région parisien conduire vraisemblablement amélioration extension éventuel centrale existant création nouveau couloir ligne transport énergie électrique .|Positive
attribution commissaire construction urbanisme charger élaborer Plan Aménagement organisation général région parisien définir modalité réalisation opération prévu ( 1 ) permettre attirer attention moyen faciliteraient réalisation .|Positive
réussir œuvre important aménagement région indispensable autorité responsable bénéficier concours réserve représentant population opinion public intérêt privé multiple groupement toucher loin activité économique action social région .|Positive
or étude indispensable : étude technique économique proprement relatif réalisation réseau transport régional création nouveau aérodrome nord PARIS ; étude comparatif rentabilité groupe opération nature concourent objet : amélioration réseau routier existant création nouveau exemple ; — étude mesure nouveau institution taxe stationnement affecter création aménagement parking urbain etc.|Positive
politique exposer récemment parlement ( 1 ) : intensification mesure décentralisation secteur secondaire tertiaire décentralisation service public plan action revitalisation « région déprimé » action favoriser développement rayonnement grand ville faire véritable capitale régional ...|Positive
activité SECONDAIrE importance activité région parisien rappelé chapitre I examineron localisation répartition superficie occuper actuellement nécessaire meilleur aménagement région .|Positive
intérieur agglomération parisien proprement extérieur agglomération nombre ville développement modéré envisager répartition activité moyenne importance secteur zone rural localisation possible prévu quantité suffisant répondre besoin remise ordre progressif activité secteur secondaire agglomération parisien .|Positive
déplacement industrie intérieur limite région parisien agréé cadre plan général pouvoir accompagner avantage neutraliser coup sûr effort entreprendre ailleurs faveur meilleur aménagement ensemble territoire .|Positive
aménagement correct étudier nouveau zone activité région parisien devoir condition meilleur travail rapprochement lieu emploi habitat économie résulteront encouragement industriel transférer entreprise installer bâtiment vétuste mal adapter main-d' œuvre .|Positive
faciliter décentralisation établissement relever État ; 4 .|Positive
vue remédier grave inconvénient assurer meilleur équilibre capitale mieux équiper mieux aménager devoir conserver prestige national international province activité attrait devoir développer largement domaine fonction expansion démographique évolution prévisible activité action pouvoir public collectivité conformera principe : 1.|Positive
objectif pouvoir atteindre politique aménagement national notamment mesure favoriser développement capitale régional ligne pôle attraction frontière région parisien ( Orléans troye Reims Amiens Rouen Mans etc. ) .|Positive
améliorer équipement PARIS banlieue zone rural .|Positive
dév2lopper larmement politique foncière réaliser meilleur condition opération urbanisme importance permettre collectivité public lutter spéculation récupérer plus-value .|Positive
prévoir création nouveau noyau urbain principal noyau secondaire amorceront restructuration meilleur équipement agglomération parisien favoriser rénovation quartier vétuste insalubre PARIS banlieue .|Positive
Métropole horizontal bruxellois pouvoir occasion développer modèle durable original novateur homogène : valorisera contraire différence qualité lieu dépasser clivage .|Positive
faisceau ouest long rivière radial contribuer nouveau structure spatial ; — grille dispositif souple organiser nouveau expansion : rencontrer caractéristique urbain naturel topographique intégrer existant valoriser site .|Positive
content étudier possibilité compenser coût environnemental produit voiture individuel améliorer infrastructure .|Positive
grand occasion recyclage léger lourd projet potentiellement inclusif coexistence échelle plaine Pô.|Positive
devoir actualisé conserver capacité structurant guider transformation positif .|Positive
conjugue scénario Cassini inspirer stratégie partir possibilité régénérer habitabilité vallée intégrer fragment ville linéaire processus stratification inclure compréhension risque hydraulique lecture topographique plaine terrasse fluvial ( Thor ) valorisant nœud gare ferroviaire .|Positive
parc aujourd'hui « espace social » lieu dévolu pratique quotidien matériau urbain pouvoir contribuer donner structure spatial clair ville métropole .|Positive
espace rendre confortable marché hebdomadaire .|Positive
objectif stratégie proposer étude aller résumer suivre : — récupérer habitabilité élargir ( scénario Cassini ) vallée grâce renforcement transport commun mode doux adapter territoire faible densité ; — requalifier forme habitat caractérisant vallée nouveau forme attendre intégrer processus stratification morceau ville linéaire plaine pouvoir repensé partir restructuration aire autour gare meilleur compréhension topographie ; — sortir impasse ferroviaire explorer possibilité ligne voyageur inspirer ligne mixte suisse franchir pente important ; — valoriser patrimoine lier eau machine hydraulique Val Durance introduire nouveau dispositif rétention collecte irrigation ; — intégrer réflexion eau agriculture biodiversité renforcer richesse vallée réservoir espèce végétal animal .|Positive
ville Anvers lancer concours maîtrise œuvre résoudre qualitativement transformation quai façade fluvial ville .|Positive
fonction jamais changer succès lieu inciter lancer concours amélioration : installation ponctuel agrandissement abri restauration théâtre construction auberge lieu polyvalent aménagement inhérent environnement naturel gestion eau végétation parcours piéton terrain jeu .|Positive
au-delà écriture architectural projet vertu stabiliser valoriser espace habiter féodalité industrie XIXe siècle .|Positive
sens projet générateur urbanité démarche inductive devenir outil essentiel production ville .|Positive
exprimer base principe valorisation urbain ?|Positive
mission porter éloquent joli nom « embellissement » .|Positive
ville nouveau clair dessiner tramway permettre donner épaisseur centre-ville transformation mesurer mener objectif principal mise œuvre intermodalité développement multifonction .|Positive
reconquête boulevard XVIIIe siècle chartre exemple harmonisation urbain utiliser levier transformation infrastructure .|Positive
redessiner mer 15 kilomètre relier côte ville esplanade 800 mètre longueur bâtir stratégie résorption grand infrastructure routière : qualifier « archéologie présent » inversant règle reconversion produire espace « capable » accueillant avenir projet urbain .|Positive
moment comprendre métier relever davantage transformation invention conception partir contexte décisif : « architecte inventer transformer » Alvaro siza .|Positive
projet jouer rôle considérable évolution point vue conception paysage puis tard élaboration projet urbain .|Positive
projet viser évidemment amélioration transformation lieu .|Positive
valorisant hectare mur perdurent quartier Saint-Antoine ville Montreuil pouvoir constituer mémoire partir pouvoir nouveau transposer singulariser forme urbain .|Positive
édouardorique souto moura imaginer maison individuel petit activité artisanal trouver aisément place parcellaire .|Positive
maîtrise ouvrage : établissement public aménagement ville nouveau Isle abeau programme : élaboration Plan paysage maîtrise œuvre : Michel corajoud paysagiste ; caue Ain Isère Rhône échelle : vallée long 25 km plateau colline adjacent calendrier: 1995 campagne ville : parc Gerland réaliser Claire corajoud Gabriel chauvel parc Gerland Lyon – accomplir dernier projet – grand jardin linéaire 500 mètre 50 .|Positive
préservation espace ouvrir défendre exactement important opposer encombrement systématique espace .|Positive
projet entendre viser ultime transformation amélioration lieu méthode .|Positive
coupe principe territoire limite géographie proposer intervention situer importance maintenir protéger relief végétation révéler réalité amplitude potentialité site .|Positive
ouvrage travail réflexif pratique Henri Bava Michel hössler Olivier Philippe réaliser ouvrage aider conforter positionnement réactualiser cesser compréhension projet sein collectif parler langue commune partager démarche .|Positive
faculté maîtrise ouvrage public allemand ouvrir débat faire émerger projet expérimental émaner parfois équipe étranger « Aqua magica » Hanovre — projet fonder mise paysage invisible source thermal poser rupture proposition allemand attendue .|Positive
faire apprentissage créativité commande stimulant équipe maître œuvre venir pays inventer nouveau paysage urbain réaliser respect patrimoine construire laisser place audace architectural programmatique développement nouveau nature urbain .|Positive
Shanghai réaménagement berge huangpu Shanghai nouveau lauréat consultation international organison réappropriation rive huangpu déployé 22 km rapidité phase étude chantier jamais rencontrer Europe .|Positive
principe base projet « caneva » redescendre place niveau rue réactiver commerce quartier concept « radical flatne » retrouver surface continuer grâce restructuration minutieux dalle parking .|Positive
promenade fonctionner « seuil » site protéger devenir support aménagement attractif futur .|Positive
2013 projet valorisation vallée vilaine vaste territoire naturel 3 500 hectare sud Rennes porter Rennes Métropole commune riverain objectif remailler territoire faire émerger nouveau usage air .|Positive
désoccupation homme étendre entier territoire achever voir bienfait opportunité libération foncier permettre redonner espace nature transformer forêt zone humide inaccessible dizaine millier kilomètre carré serion acteur bienveillant distant surveillance .|Positive
Métropole bordelais éditer addition travail « référentiel zone humide » concevoir agence TER cadre mission complémentaire valorisation zone inondable humide fonctionnel .|Positive
initiative souligner volonté local faire vallée vilaine paysage structurant mise paysage répondre demander élu offrir possibilité habitant « vacance ville » .|Positive
favoriser émergence activité faciliter partager dynamique acteur local équipe mener travail parallèle conception associer démarche artistique culturel social nombre action estival préfiguration .|Positive
favoriser évolutivité rez-de-chaussée proposer hauteur 5 mètre reconvertible .|Positive
fabriquer espace public bio-climatique intégration écologie projet urbain œuvre aujourd'hui passer valorisation espace public quartier dense comprendre centre-ville .|Positive
jardin développer subir lors inondation sécheresse encombre .|Positive
projet écoquartier fluvial mantes-rosny agence TER urbaniste mandataire équipe international ( notamment architecte néerlandais Jo coenen ) occasion imaginer construire ancien gravière : moitié quartier dense vivre rythme eau percevoir lieu loisir port plaisance club aviron moitié parc écologique inondable connecter cru fleuve forêt avoisinant .|Positive
Barcelone aménagement place-parc Glòrie catalan occasion expérimenter implantation écosystème vertical stratifié constitution « node » réseau répondre principe stepping stone démontrant biodiversité diffuser continuité « patch » .|Positive
système node adapter situation aménagement capable rendre service climatique problématique surchauffe inondation ville .|Positive
typifier forme mieux structurer ?|Positive
falloir organiser manière intelligent social écologique répondre segment demander — ville dense ville moyennement dense ville dense — faire ville éclectique .|Positive
Tokyo exemple choisir mode densification périphérique original faire sorte centralité linéaire faire tour ville .|Positive
mieux valoir développer grand pôle — notion pétal prendre sens — organiser morceau région Île-de-France autour grand pôle nouveau centralité .|Positive
capable faire grand opération urbain qualité pouvoir venir conforter nouveau centralité .|Positive
falloir réjouir exemple passer Saint-Denis sembler développement prometteur oublier autant nord département .|Positive
A. M améliorer paysage Île-de-France ?|Positive
. pouvoir essayer faire utiliser rationnellement possible espace disponible .|Positive
